order_id,account_id,bank_to,account_to,amount,k_symbol
29401,1,YZ,87144583,2452,SIPO
29402,2,ST,89597016,3372.7,UVER
29403,2,QR,13943797,7266,SIPO
29404,3,WX,83084338,1135,SIPO
29406,3,AB,59972357,3539,POJISTNE
29407,4,UV,26693541,2078,SIPO
29408,4,UV,5848086,1285,SIPO
29409,5,GH,37390208,2668,SIPO
29410,6,AB,44486999,3954,SIPO
29411,7,IJ,34452903,4880,SIPO
29412,8,UV,12510681,2612,SIPO
29414,10,UV,18686104,7033,SIPO
29415,10,QR,93182509,1344,LEASING
29416,11,ST,38470870,2132,SIPO
29417,12,CD,23010808,297,SIPO
29418,12,KL,63607060,3295,SIPO
29419,13,EF,35443323,2444,SIPO
29420,14,WX,11793136,3629,SIPO
29421,15,KL,24265569,3072,SIPO
29422,17,EF,15076423,4032,SIPO
29423,19,QR,14132368,2523.2,UVER
29425,20,AB,3399968,2003,SIPO
29426,21,YZ,60152441,6276,SIPO
29427,22,ST,34691494,6352,SIPO
29428,23,MN,20774019,5807,SIPO
29429,24,IJ,50810194,221,SIPO
29431,25,YZ,1301700,2523.2,UVER
29432,25,IJ,4896235,6817,SIPO
29434,25,WX,52864879,164,POJISTNE
29435,26,EF,12891853,10387,SIPO
29436,27,CD,28175699,4054,SIPO
29439,29,ST,32924878,6871,SIPO
29441,29,UV,41335338,8,POJISTNE
29442,30,EF,66168540,2480.2,LEASING
29443,31,ST,42430687,10202,SIPO
29444,33,KL,33047658,3892,SIPO
29445,34,WX,21845197,1479,LEASING
29446,34,GH,19993174,502,SIPO
29448,35,MN,56788617,1022,SIPO
29449,35,MN,99848401,1362,SIPO
29450,36,CD,80693810,4069,SIPO
29451,37,QR,71644407,5307.5,UVER
29452,37,IJ,29728555,2317,SIPO
29454,37,YZ,89609831,97,POJISTNE
29455,38,QR,79067885,2306.8,UVER
29456,38,EF,2692229,6901,SIPO
29458,38,OP,64685678,228,POJISTNE
29459,39,CD,77015351,145,SIPO
29460,39,WX,949460,2970,SIPO
29461,40,ST,31161588,33,SIPO
29463,42,CD,1007766,4239,SIPO
29465,42,YZ,38318204,1592,POJISTNE
29466,43,CD,89718746,6589,SIPO
29467,44,GH,11344862,2344,SIPO
29470,47,KL,76620852,6940,SIPO
29472,47,EF,83359431,141,POJISTNE
29474,48,AB,50218236,6268,SIPO
29476,49,CD,83233099,3102,SIPO
29477,50,WX,75148117,269,SIPO
29479,51,KL,71050131,2074,SIPO
29481,52,EF,6008005,560,SIPO
29483,53,MN,81024360,2851,SIPO
29484,54,IJ,90659772,2280,SIPO
29485,55,EF,53077900,3086,SIPO
29486,56,KL,73539948,8080,SIPO
29487,57,YZ,55066728,4107,SIPO
29489,59,IJ,38201576,695,SIPO
29493,61,EF,20533621,1645,SIPO
29494,61,IJ,20426410,668,SIPO
29495,62,EF,80010622,2273,SIPO
29496,63,CD,85474604,2237,SIPO
29497,63,EF,8346772,157,SIPO
29498,65,YZ,74934333,686,SIPO
29500,65,GH,7764506,3401,POJISTNE
29501,66,GH,17993182,4471.3,LEASING
29502,67,YZ,45128363,6915,UVER
29503,67,YZ,57342255,6393,SIPO
29505,68,WX,86834001,1705,SIPO
29507,68,ST,34692824,137,POJISTNE
29509,70,KL,7699788,4150,SIPO
29510,71,YZ,53903484,968,SIPO
29512,71,OP,9098768,1011,POJISTNE
29514,72,OP,43079012,2923,LEASING
29515,72,EF,69338589,7109,SIPO
29517,73,CD,67077487,6061,SIPO
29522,75,IJ,74818038,3369,SIPO
29523,76,MN,98325132,5208,SIPO
29524,77,ST,28454154,1709,LEASING
29525,78,WX,32111394,9039,SIPO
29526,79,CD,15471804,2788,SIPO
29527,80,IJ,85687774,2252,SIPO
29528,81,QR,18026441,1765,SIPO
29530,81,GH,62443947,229,POJISTNE
29531,83,AB,26468819,2210,SIPO
29533,84,ST,33353132,1709,LEASING
29534,84,ST,18454540,12452,SIPO
29535,85,IJ,65366345,3831,SIPO
29536,85,OP,81823444,1792,LEASING
29537,86,WX,36292475,1002,SIPO
29541,88,ST,72993069,2268,SIPO
29542,90,ST,68375611,2774,SIPO
29544,90,MN,89044069,4372,POJISTNE
29554,96,CD,62272125,4422.1,LEASING
29555,96,QR,83610647,908,SIPO
29557,96,EF,49409562,46,POJISTNE
29559,97,ST,69820374,1436,SIPO
29561,97,ST,83123987,3,POJISTNE
29563,97,MN,9693319,8573,UVER
29564,98,CD,94078754,1569,SIPO
29565,98,WX,95535426,749,SIPO
29566,99,CD,38411343,4503,SIPO
29568,100,UV,6381905,598,SIPO
29570,101,KL,10926431,8037,SIPO
29572,102,EF,24946403,7370.2,UVER
29573,102,KL,63927906,3373,SIPO
29575,103,MN,2646291,7370.2,UVER
29576,104,MN,82782172,578,SIPO
29578,105,UV,58251345,7348,UVER
29579,106,WX,46916538,3735,SIPO
29580,107,IJ,67744958,2015,SIPO
29582,107,QR,80934089,959,POJISTNE
29583,108,CD,62673318,4803,SIPO
29584,110,OP,24390584,3050,SIPO
29586,110,ST,14772266,4516,UVER
29589,112,AB,41812431,2051,SIPO
29590,113,GH,11191487,3146,SIPO
29591,114,QR,78667527,1590,SIPO
29592,114,MN,90660798,533,SIPO
29593,115,EF,51975733,5110,SIPO
29594,116,KL,99229424,5529,SIPO
29595,116,ST,16828024,927,LEASING
29596,117,CD,59419953,2329,SIPO
29597,118,IJ,51605445,2449,SIPO
29598,119,ST,21662587,8252,SIPO
29599,120,YZ,74934506,1899,LEASING
29600,120,ST,36501592,3965,SIPO
29601,121,YZ,81156724,794,SIPO
29603,121,MN,91729092,393,POJISTNE
29604,123,KL,97764080,3016,SIPO
29605,124,IJ,11366123,447,SIPO
29607,124,OP,34663748,971,POJISTNE
29608,125,IJ,14166999,4422.1,LEASING
29609,126,WX,62923598,7384,SIPO
29610,127,YZ,11707830,2242,SIPO
29611,129,IJ,69084489,3417,SIPO
29612,130,IJ,2152455,3969,SIPO
29613,131,UV,29374742,6904,SIPO
29614,132,WX,80542558,7370.2,UVER
29615,133,OP,90329002,3094,LEASING
29616,133,EF,45379865,4943,SIPO
29618,136,MN,78733890,2932,SIPO
29619,137,GH,71138578,3464,SIPO
29621,141,KL,30588215,3016.5,LEASING
29622,141,KL,65986662,3462,SIPO
29624,141,GH,86448645,6716,POJISTNE
29625,142,YZ,23734498,1845,SIPO
29626,143,YZ,81564402,2272,SIPO
29627,145,GH,81546359,4815,SIPO
29628,146,AB,76565843,3823,SIPO
29631,148,KL,29826498,487,SIPO
29633,148,QR,85938459,1736,POJISTNE
29634,151,QR,2754378,411,SIPO
29636,152,OP,21928644,426,SIPO
29638,153,UV,6886673,4544,SIPO
29639,154,MN,1314569,3891,SIPO
29640,155,KL,13971645,2988,SIPO
29641,156,QR,93965810,2030,SIPO
29642,157,AB,14697784,3991,SIPO
29643,158,ST,61129736,3420,SIPO
29644,159,GH,1882386,8694,SIPO
29645,160,QR,52787989,2374,SIPO
29647,161,GH,17877823,1389,SIPO
