trans_id,account_id,date,type,operation,amount,balance,k_symbol,bank,account
637742,2177,05-01-1993 00:00,PRIJEM,PREVOD Z UCTU,5123,5923,DUCHOD,YZ,62457513
579374,1972,07-01-1993 00:00,PRIJEM,PREVOD Z UCTU,5298,5698,DUCHOD,UV,14132887
1049882,3592,10-01-1993 00:00,PRIJEM,PREVOD Z UCTU,6007,6607,DUCHOD,MN,73166322
171813,576,11-01-1993 00:00,PRIJEM,PREVOD Z UCTU,6207,7107,DUCHOD,YZ,30300313
689828,2357,12-01-1993 00:00,PRIJEM,PREVOD Z UCTU,6434,7234,DUCHOD,OP,34144538
477639,1628,12-01-1993 00:00,PRIJEM,PREVOD Z UCTU,4276,4976,DUCHOD,UV,15916598
439036,1493,13-01-1993 00:00,PRIJEM,PREVOD Z UCTU,5009,5209,DUCHOD,AB,54522466
480215,1637,13-01-1993 00:00,PRIJEM,PREVOD Z UCTU,5718,6218,DUCHOD,UV,45134812
2908689,9635,14-01-1993 00:00,PRIJEM,PREVOD Z UCTU,4470,4870,DUCHOD,CD,37906074
637743,2177,05-02-1993 00:00,PRIJEM,PREVOD Z UCTU,5123,11068,DUCHOD,YZ,62457513
498391,1699,05-02-1993 00:00,PRIJEM,PREVOD Z UCTU,5224,6024,DUCHOD,CD,94008880
529774,1806,05-02-1993 00:00,PRIJEM,PREVOD Z UCTU,5029,5429,DUCHOD,UV,39912659
224344,764,05-02-1993 00:00,PRIJEM,PREVOD Z UCTU,6238,7338,DUCHOD,UV,30560720
57435,192,06-02-1993 00:00,PRIJEM,PREVOD Z UCTU,5859,6159,DUCHOD,GH,15384018
1132664,3871,06-02-1993 00:00,PRIJEM,PREVOD Z UCTU,4356,4656,DUCHOD,GH,31564527
506452,1730,06-02-1993 00:00,PRIJEM,PREVOD Z UCTU,6689,7589,DUCHOD,ST,43294817
695340,2378,07-02-1993 00:00,VYDAJ,PREVOD NA UCET,9612,80034,SIPO,EF,1222903
129504,435,07-02-1993 00:00,PRIJEM,PREVOD Z UCTU,5039,5439,DUCHOD,MN,22131634
347545,1179,07-02-1993 00:00,PRIJEM,PREVOD Z UCTU,4212,4912,DUCHOD,WX,72322171
579375,1972,07-02-1993 00:00,PRIJEM,PREVOD Z UCTU,5298,11015,DUCHOD,UV,14132887
737260,2519,07-02-1993 00:00,PRIJEM,PREVOD Z UCTU,5544,6044,DUCHOD,GH,5454445
1084398,3704,09-02-1993 00:00,PRIJEM,PREVOD Z UCTU,6242,6742,DUCHOD,AB,11927444
1049883,3592,10-02-1993 00:00,PRIJEM,PREVOD Z UCTU,6007,12634,DUCHOD,MN,73166322
171814,576,11-02-1993 00:00,PRIJEM,PREVOD Z UCTU,6207,13334,DUCHOD,YZ,30300313
506838,1731,11-02-1993 00:00,PRIJEM,PREVOD Z UCTU,4758,4958,DUCHOD,GH,89825009
359513,1222,12-02-1993 00:00,PRIJEM,PREVOD Z UCTU,6310,7010,DUCHOD,KL,77489798
689829,2357,12-02-1993 00:00,PRIJEM,PREVOD Z UCTU,6434,13687,DUCHOD,OP,34144538
477640,1628,12-02-1993 00:00,PRIJEM,PREVOD Z UCTU,4276,9265,DUCHOD,UV,15916598
490779,1675,12-02-1993 00:00,PRIJEM,PREVOD Z UCTU,4327,5427,DUCHOD,AB,50350195
48642,163,13-02-1993 00:00,PRIJEM,PREVOD Z UCTU,6698,7598,DUCHOD,YZ,76209622
439037,1493,13-02-1993 00:00,PRIJEM,PREVOD Z UCTU,5009,10231,DUCHOD,AB,54522466
660836,2256,13-02-1993 00:00,PRIJEM,PREVOD Z UCTU,4729,5429,DUCHOD,AB,59773492
480216,1637,13-02-1993 00:00,PRIJEM,PREVOD Z UCTU,5718,11952,DUCHOD,UV,45134812
745024,2543,14-02-1993 00:00,PRIJEM,PREVOD Z UCTU,6148,7248,DUCHOD,CD,4203528
2908690,9635,14-02-1993 00:00,PRIJEM,PREVOD Z UCTU,4470,9363,DUCHOD,CD,37906074
